Test ID,Testijuhtumi nimetus,Testitüüp,Kirjeldus,Eeltingimused,Testimise sammud,Oodatav tulemus,Tegelik tulemus,Staatus,Täideviija,Kuupäev,Märkused
ST-003,Andmete salvestamine ja taastamine brauseri uuesti laadimise korral,Süsteemitest,Kontrollida kas andmed säilivad brauseri uuesti laadimisel,Süsteemis on andmeid,1. Lisa üliõpilane ja hinne\n2. Laadi brauser uuesti\n3. Kontrolli andmete olemasolu,Kõik andmed säilinud,Ootel,Käsitsi,Testimine,
ST-004,Vigade käsitlemise süsteem,Süsteemitest,Kontrollida kas süsteem käsitleb õigesti vigaseid sisendeid,Süsteem on laaditud,1. Proovi lisada üliõpilast ilma andmeteta\n2. Proovi anda kehtetut hinnet\n3. Proovi duplikaatkoodi,Vigased sisendid tagasi lükatud veateadetega,Ootel,Käsitsi,Testimine,
RT-001,Üliõpilase kustutamise mõju statistikale,Regressioonitest,Kontrollida kas üliõpilase kustutamine uuendab statistikat,Üliõpilane hinnete ja statistikaga,1. Märgi algne statistika\n2. Kustuta üliõpilane\n3. Kontrolli statistikat,Statistika õigesti uuendatud,Ootel,Käsitsi,Testimine,
RT-002,Mitme operatsiooni järjestikune teostamine,Regressioonitest,Kontrollida süsteemi stabiilsust mitme operatsiooni järel,Süsteem on laaditud,1. Lisa 3 üliõpilast\n2. Anna igaühele 2 hinnet\n3. Kustuta 1 üliõpilane\n4. Kontrolli kõike,Kõik operatsioonid töötavad korrektselt,Ootel,Käsitsi,Testimine,
AT-001,Kasutaja saab kiiresti leida õige üliõpilase,Aktsepteerimistest,Kontrollida kas otsingufunktsioon vastab kasutaja vajadustele,Mitmed üliõpilased süsteemis,1. Otsi üliõpilast nime järgi\n2. Otsi e-maili järgi\n3. Otsi koodi järgi,Kõik otsinguvariantid töötavad intuitiivselt,Ootel,Käsitsi,Testimine,
AT-002,Süsteem annab selget tagasisidet kasutajale,Aktsepteerimistest,Kontrollida kas kasutaja saab piisavalt tagasisidet oma tegevuste kohta,Süsteem on laaditud,1. Lisa üliõpilane\n2. Anna hinne\n3. Kustuta element\n4. Tee viga,Kõigi tegevuste kohta antakse selget tagasisidet,Ootel,Käsitsi,Testimine,
PT-001,Süsteemi laadimiskiirus tühja andmebaasiga,Jõudlustest,Mõõta kui kiiresti süsteem käivitub,Tühi brauser,1. Ava rakendus\n2. Mõõda laadimisaeg,Laadib alla 2 sekundi,Ootel,Käsitsi,Testimine,
PT-002,Süsteemi jõudlus 100 üliõpilase ja 500 hindega,Jõudlustest,Kontrollida jõudlust suurte andmehulkadega,100 üliõpilast 500 hindega,1. Ava iga leht\n2. Mõõda vastamiskiirust\n3. Tee otsinguid,Kõik operatsioonid alla 1 sekundi,Ootel,Automatiseeritud,Testimine,
UT-001,Navigeerimise lihtsus,Kasutatavustest,Hinnata kui intuitiivne on navigeerimine,Süsteem on laaditud,1. Anna kasutajale ülesanne leida konkreetne üliõpilane\n2. Anna ülesanne lisada hinne\n3. Jälgi tegevusi,Kasutaja leiab funktsioonid alla 30 sekundi,Ootel,Käsitsi,Testimine,
UT-002,Vormide kasutajamugavus,Kasutatavustest,Hinnata vormide täitmise lihtsust,Süsteem on laaditud,1. Palu kasutajal lisada 3 üliõpilast\n2. Jälgi raskusi ja vigu\n3. Küsi tagasisidet,Kasutaja saab ülesande täita ilma abieta,Ootel,Käsitsi,Testimine,
CT-001,Chrome brauseri ühilduvus,Ühilduvustest,Kontrollida süsteemi toimimist Chrome brauseris,Chrome brauser,1. Ava rakendus Chrome-is\n2. Testi kõiki funktsioone\n3. Kontrolli visuaalset kuvamist,Kõik funktsioonid töötavad korrektselt,Ootel,Käsitsi,Testimine,
CT-002,Firefox brauseri ühilduvus,Ühilduvustest,Kontrollida süsteemi toimimist Firefox brauseris,Firefox brauser,1. Ava rakendus Firefox-is\n2. Testi kõiki funktsioone\n3. Kontrolli visuaalset kuvamist,Kõik funktsioonid töötavad korrektselt,Ootel,Käsitsi,Testimine,
CT-003,Mobiilsete seadmete ühilduvus,Ühilduvustest,Kontrollida responsiivse disaini toimimist,Mobiilne seade või emulaator,1. Ava rakendus mobiilses vaates\n2. Testi kõiki funktsioone\n3. Kontrolli kasutajamugavust,Süsteem on täielikult kasutatav mobiilis,Ootel,Käsitsi,Testimine,
CT-004,Erinevate ekraanisuuruste tugi,Ühilduvustest,Kontrollida disaini kohanemist erinevate ekraanidega,Erinevad ekraanilahutused,1. Muuda brauseri akna suurust\n2. Testi 1920x1080 1366x768 768x1024\n3. Kontrolli elemendipaiknemist,Disain kohaneb kõigis suurustes,Ootel,Käsitsi,Testimine,
